"Zone visible sur la table pour chaque (h, theta)",,,,,,
VFOV = 47.8 deg   |   Formules 4a et 4b,,,,,,
x_near (cm) : point le plus proche visible,,,,,,
theta \ h,h = 28 cm,h = 30 cm,h = 33 cm,h = 35 cm,h = 37 cm,h = 40 cm
42 deg,12.5,13.4,14.8,15.7,16.6,17.9
44 deg,11.4,12.2,13.4,14.2,15.0,16.2
46 deg,10.2,11.0,12.1,12.8,13.5,14.6
48 deg,9.2,9.8,10.8,11.4,12.1,13.1
50 deg,8.1,8.7,9.5,10.1,10.7,11.5
x_far > 63 cm ?,,,,,,
theta \ h,h = 28 cm,h = 30 cm,h = 33 cm,h = 35 cm,h = 37 cm,h = 40 cm
36 deg,130.6,139.9,153.9,163.2,172.5,186.5
38 deg,111.4,119.4,131.3,139.3,147.2,159.2
40 deg,97.0,103.9,114.3,121.2,128.1,138.5
42 deg,85.6,91.8,100.9,107.0,113.2,122.3
44 deg,76.5,82.0,90.2,95.6,101.1,109.3
46 deg,68.9,73.9,81.2,86.2,91.1,98.5
48 deg,62.6,67.0,73.8,78.2,82.7,89.4
50 deg,57.1,61.2,67.3,71.4,75.5,81.6
Contrainte pour D = 65 cm  (bras a 22 cm des cameras),,,,,,
x_near < 22 cm ?,,,,,,
theta \ h,h = 28 cm,h = 30 cm,h = 33 cm,h = 35 cm,h = 37 cm,h = 40 cm
36 deg,16.2,17.4,19.1,20.3,21.5,23.2
38 deg,15.0,16.0,17.6,18.7,19.8,21.4
40 deg,13.7,14.7,16.2,17.2,18.1,19.6
42 deg,12.5,13.4,14.8,15.7,16.6,17.9
44 deg,11.4,12.2,13.4,14.2,15.0,16.2
46 deg,10.2,11.0,12.1,12.8,13.5,14.6
48 deg,9.2,9.8,10.8,11.4,12.1,13.1
50 deg,8.1,8.7,9.5,10.1,10.7,11.5
x_far > 65 cm ?,,,,,,
theta \ h,h = 28 cm,h = 30 cm,h = 33 cm,h = 35 cm,h = 37 cm,h = 40 cm
36 deg,130.6,139.9,153.9,163.2,172.5,186.5
38 deg,111.4,119.4,131.3,139.3,147.2,159.2
40 deg,97.0,103.9,114.3,121.2,128.1,138.5
42 deg,85.6,91.8,100.9,107.0,113.2,122.3
44 deg,76.5,82.0,90.2,95.6,101.1,109.3
46 deg,68.9,73.9,81.2,86.2,91.1,98.5
48 deg,62.6,67.0,73.8,78.2,82.7,89.4
50 deg,57.1,61.2,67.3,71.4,75.5,81.6
